 X	PSI		Ne	Te	Zeff	SigmaH	 Stotal		NSL		Power	LinIonDens
 27.3912	0.204299		1.023e+020	16.0448	1.68803		6.54447e-017	6.55293e-021		1.14536	0.318108	0.213248
 27.4012	0.201501		1.023e+020	16.1818	1.68832		6.53921e-017	6.54773e-021		1.15206	0.315984	0.211657
 27.4112	0.198734		1.023e+020	16.3173	1.6886		6.53405e-017	6.54264e-021		1.15876	0.313876	0.210081
 27.4212	0.19597		1.023e+020	16.4527	1.68888		6.52894e-017	6.5376e-021		1.16544	0.311784	0.20852
 27.4312	0.19321		1.023e+020	16.5634	1.68911		6.5248e-017	6.53351e-021		1.17213	0.309707	0.207002
 27.4412	0.190453		1.023e+020	16.6559	1.6893		6.52136e-017	6.53012e-021		1.17881	0.307645	0.205517
 27.4512	0.1877		1.023e+020	16.7483	1.68949		6.51795e-017	6.52675e-021		1.18548	0.305598	0.204044
 27.4612	0.18495		1.023e+020	16.8406	1.68967		6.51457e-017	6.52341e-021		1.19216	0.303565	0.202583
 27.4712	0.182203		1.023e+020	16.9328	1.68986		6.51121e-017	6.5201e-021		1.19883	0.301547	0.201134
 27.4812	0.179693		1.023e+020	17.0135	1.69003		6.50828e-017	6.51721e-021		1.2055	0.299544	0.199709
 27.4912	0.177221		1.023e+020	17.0796	1.6902		6.50589e-017	6.51485e-021		1.21216	0.297554	0.198311
 27.5012	0.174751		1.023e+020	17.1455	1.69037		6.50352e-017	6.51252e-021		1.21882	0.295578	0.196923
 27.5112	0.172285		1.023e+020	17.2114	1.69054		6.50117e-017	6.51019e-021		1.22548	0.293616	0.195546
 27.5212	0.169822		1.023e+020	17.2772	1.69071		6.49882e-017	6.50788e-021		1.23214	0.291668	0.19418
 27.5312	0.167362		1.023e+020	17.3429	1.69088		6.49649e-017	6.50558e-021		1.2388	0.289733	0.192823
 27.5412	0.164906		1.023e+020	17.4179	1.69107		6.49384e-017	6.50297e-021		1.24545	0.287812	0.191468
 27.5512	0.162452		1.023e+020	17.5166	1.69132		6.49038e-017	6.49955e-021		1.2521	0.285905	0.190099
 27.5612	0.160196		1.023e+020	17.6073	1.69156		6.48721e-017	6.49643e-021		1.25874	0.284011	0.188749
 27.5712	0.158003		1.023e+020	17.6954	1.69178		6.48415e-017	6.49341e-021		1.26539	0.282131	0.187412
 27.5812	0.155813		1.02302e+020	17.7829	1.69201		6.48115e-017	6.49045e-021		1.27203	0.280263	0.186092
 27.5912	0.153626		1.02362e+020	17.8548	1.69216		6.47912e-017	6.48845e-021		1.27867	0.278408	0.184911
 27.6012	0.151442		1.02422e+020	17.9266	1.69231		6.47709e-017	6.48646e-021		1.28531	0.276565	0.183738
 27.6112	0.149261		1.02482e+020	17.9983	1.69245		6.47508e-017	6.48449e-021		1.29196	0.274733	0.182572
 27.6212	0.147083		1.02542e+020	18.0699	1.6926		6.47309e-017	6.48253e-021		1.2986	0.272913	0.181413
 27.6312	0.144907		1.02601e+020	18.1414	1.69275		6.4711e-017	6.48058e-021		1.30525	0.271104	0.180261
 27.6412	0.142871		1.02657e+020	18.2083	1.69289		6.46926e-017	6.47876e-021		1.3119	0.269307	0.179113
 27.6512	0.140944		1.02685e+020	18.2742	1.69304		6.46726e-017	6.4768e-021		1.31855	0.267522	0.177922
 27.6612	0.139019		1.02607e+020	18.3508	1.69323		6.46414e-017	6.47371e-021		1.3252	0.265751	0.176524
 27.6712	0.137096		1.02528e+020	18.4273	1.69343		6.46104e-017	6.47064e-021		1.33183	0.263994	0.17514
 27.6812	0.135176		1.0245e+020	18.5037	1.69362		6.45795e-017	6.46759e-021		1.33846	0.26225	0.173768
 27.6912	0.133259		1.02372e+020	18.58	1.69382		6.45488e-017	6.46456e-021		1.34507	0.26052	0.172409
 27.7012	0.131345		1.023e+020	18.6562	1.69402		6.45187e-017	6.46158e-021		1.35168	0.258804	0.171074
 27.7112	0.129433		1.023e+020	18.7331	1.69421		6.44937e-017	6.45911e-021		1.35829	0.257099	0.169883
 27.7212	0.127588		1.023e+020	18.8073	1.6944		6.44697e-017	6.45674e-021		1.3649	0.255407	0.168703
 27.7312	0.125916		1.023e+020	18.8745	1.69458		6.4448e-017	6.45461e-021		1.3715	0.253726	0.167537
 27.7412	0.124246		1.023e+020	18.9417	1.69475		6.44264e-017	6.45248e-021		1.3781	0.252057	0.16638
 27.7512	0.122578		1.023e+020	19.0087	1.69492		6.44049e-017	6.45036e-021		1.3847	0.250399	0.165231
